tconst,stars,n,date
tt0035279,4,398,2023-02-14
tt0035279,5,1294,2023-02-14
tt0035279,6,4300,2023-02-14
tt0035279,7,9689,2023-02-14
tt0035279,8,6702,2023-02-14
tt0035279,9,2077,2023-02-14
tt0035279,10,1637,2023-02-14
tt0035423,1,979,2023-02-14
tt0035423,2,946,2023-02-14
tt0035423,3,1863,2023-02-14
tt0035423,4,4241,2023-02-14
tt0035423,5,10529,2023-02-14
tt0035423,6,21970,2023-02-14
tt0035423,7,23376,2023-02-14
tt0035423,8,11808,2023-02-14
tt0035423,9,4471,2023-02-14
tt0035423,10,5838,2023-02-14
tt0035446,1,1104,2023-02-14
tt0035446,2,268,2023-02-14
tt0035446,3,447,2023-02-14
tt0035446,4,464,2023-02-14
tt0035446,5,997,2023-02-14
tt0035446,6,2036,2023-02-14
tt0035446,7,5599,2023-02-14
tt0035446,8,11179,2023-02-14
tt0035446,9,8792,2023-02-14
tt0035446,10,7769,2023-02-14
tt0036244,1,826,2023-02-14
tt0036244,2,155,2023-02-14
tt0036244,3,177,2023-02-14
tt0036244,4,263,2023-02-14
tt0036244,5,645,2023-02-14
tt0036244,6,1376,2023-02-14
tt0036244,7,3836,2023-02-14
tt0036244,8,7448,2023-02-14
tt0036244,9,5088,2023-02-14
tt0036244,10,4060,2023-02-14
tt0036342,1,908,2023-02-14
tt0036342,2,224,2023-02-14
tt0036342,3,397,2023-02-14
tt0036342,4,772,2023-02-14
tt0036342,5,1930,2023-02-14
tt0036342,6,5270,2023-02-14
tt0036342,7,14302,2023-02-14
tt0036342,8,20919,2023-02-14
tt0036342,9,11658,2023-02-14
tt0036342,10,10431,2023-02-14
tt0036613,1,1559,2023-02-14
tt0036613,2,481,2023-02-14
tt0036613,3,598,2023-02-14
tt0036613,4,1048,2023-02-14
tt0036613,5,2438,2023-02-14
tt0036613,6,5026,2023-02-14
tt0036613,7,11818,2023-02-14
tt0036613,8,19656,2023-02-14
tt0036613,9,14247,2023-02-14
tt0036613,10,15207,2023-02-14
tt0036775,1,2886,2023-02-14
tt0036775,2,904,2023-02-14
tt0036775,3,963,2023-02-14
tt0036775,4,2000,2023-02-14
tt0036775,5,3718,2023-02-14
tt0036775,6,7893,2023-02-14
tt0036775,7,23885,2023-02-14
tt0036775,8,47330,2023-02-14
tt0036775,9,38289,2023-02-14
tt0036775,10,31062,2023-02-14
tt0036855,1,177,2023-02-14
tt0036855,2,77,2023-02-14
tt0036855,3,127,2023-02-14
tt0036855,4,277,2023-02-14
tt0036855,5,783,2023-02-14
tt0036855,6,2251,2023-02-14
tt0036855,7,6470,2023-02-14
tt0036855,8,11246,2023-02-14
tt0036855,9,5078,2023-02-14
tt0036855,10,3973,2023-02-14
tt0036868,1,1827,2023-02-14
tt0036868,2,480,2023-02-14
tt0036868,3,566,2023-02-14
tt0036868,4,848,2023-02-14
tt0036868,5,2121,2023-02-14
tt0036868,6,4152,2023-02-14
tt0036868,7,10757,2023-02-14
tt0036868,8,18289,2023-02-14
tt0036868,9,12554,2023-02-14
tt0036868,10,14374,2023-02-14
tt0037008,1,778,2023-02-14
tt0037008,2,174,2023-02-14
tt0037008,3,241,2023-02-14
tt0037008,4,460,2023-02-14
tt0037008,5,1159,2023-02-14
tt0037008,6,3153,2023-02-14
tt0037008,7,9138,2023-02-14
